Front,Back,Chapter
Risk management review frequency?,"At least annually; policies and systems reviewed.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
Liquidity management requirement?,"Applies except for unleveraged closed‑ended AIFs.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
AIFM annual report timeline and contents?,"Within 6 months of year‑end; publish within 4 months; audited statements, income/expenditure, activities, remuneration paid.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
AIFM regulatory reporting to CySEC includes?,"Assets categories/percentages, liquidity, risk profile/systems, stress test results; may need annual EU AIF reports and quarterly AIF lists; leverage levels per AIF.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
Who nominates the independent valuer and who notifies CySEC?,"Depositary nominates; AIFM notifies CySEC; AIFM remains responsible.

Source: SALVUS Advanced Examination – Chapter 5 (AIF/AIFM).",Chapter 5 – AIF & AIFM
What is product governance at a high level?,"Process ensuring products meet needs of a defined target market with appropriate distribution strategy and reviews.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When can a CIF aggregate client orders?,"When aggregation is unlikely to disadvantage any client; allocate fairly and promptly with a written policy.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Best execution obligation core?,"Take all sufficient steps to obtain the best possible result, considering price, costs, speed, likelihood, size, nature, and other factors.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Order handling requirement?,"Prompt, fair and expeditious execution relative to other client orders; comparable orders executed sequentially unless not practical/clients’ interests require otherwise.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Inducements—when are they allowed?,"Only if they enhance the quality of the service and do not impair acting in the client’s best interest; must be disclosed.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Research vs. inducement principle?,"Research must be paid by the firm (P&L) or via a research payment account; otherwise, it risks being an inducement.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client order record‑keeping?,"Keep records of all services/activities/transactions including client orders for the required retention period.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Conflicts of interest policy elements?,"Identify circumstances leading to conflicts; specify procedures to manage them; disclose where unavoidable.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Periodic assessment of execution quality?,"Monitor and review execution arrangements and venues; publish top execution venues (RTS 28‑style concept in MiFID II context).

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Dealing on own account vs. client orders?,"Controls required to prevent front‑running; segregation of proprietary trading and client order information.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client categorisation relevance to conduct?,"Impacts protections (retail vs. professional vs. eligible counterparties) and disclosures/assessments.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Appropriateness vs. suitability—quick contrast.,"Appropriateness tests product knowledge for non‑advised services; suitability assesses client objectives/risk for advice/PM.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Use of tied agents—conduct angle?,"Ensure agents act in the firm’s best interest, comply with conduct/AML requirements, and are properly supervised.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Marketing communications rule of thumb?,"Fair, clear, not misleading; consistent with legal documents and costs disclosures.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Recording telephone/electronic communications?,"Record and retain relevant communications that relate to activities under MiFID laws.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Product intervention powers (CySEC/ESMA)?,"Authorities may restrict or ban certain products/distribution for consumer protection/market integrity.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
What must an order allocation policy include?,"Fair allocation criteria, treatment of partial fills, timing, and allocation to proprietary accounts.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client money and asset protection linkage?,"Safeguard assets per client asset rules; segregation, reconciliations, and disclosures to clients.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When is disclosure of conflicts required?,"As a measure of last resort where arrangements cannot ensure with reasonable confidence the prevention of risk to client interests.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Outsourcing of critical functions—conduct angle?,"Ensure no material impairment of internal control and CySEC oversight; maintain responsibility and effective supervision.

Source: SALVUS Advanced Examination – Chapter 6.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When is CDD/EDD required?,"At business relationship start; for one or linked transactions ≥ €15,000; fund transfers > €1,000 if ML/TF suspicion; gaming: winnings or bet ≥ €2,000; traders in goods: cash ≥ €10,000; and whenever doubts about documents arise.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
"What are SDD, CDD, EDD?","Simplified, Customer, and Enhanced Due Diligence—applied per risk level (low/medium/high).

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Example SDD conditions for e-money/payment instruments?,"Not reloadable or max monthly use ≤ €250 in the Republic; max stored ≤ €250; used only for goods/services; cannot be funded with anonymous e-money; issuer monitors transactions. Not applicable if cash redemption > €100.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Is SDD an exemption from CDD?,"No. SDD adjusts timing/quantity/quality/frequency of updates and monitoring; it does not exempt CDD.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Low‑risk indicators examples?,"Listed public companies, public administrations, residents of low‑risk jurisdictions with effective AML/CFT.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
High‑risk indicators examples?,"Unusual circumstances, high‑risk jurisdictions, asset‑holding vehicles, nominee shareholders/bearer shares, cash‑intensive, excessively complex structures.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Special EDD cases?,"High‑risk third countries, correspondent relationships with third‑country institutions, business with PEPs (incl. family/close associates).

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
How long to apply enhanced monitoring for former PEPs?,"At least 12 months after ceasing to be a PEP.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Suspicious activity reporting flow?,"Internal suspicious report → internal evaluation → Compliance Officer report to MOKAS via GoAML.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Record‑keeping period?,"5 years from end of relationship or after an occasional transaction.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Employee AML training requirements?,"Before starting work and at least annually thereafter.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Transaction monitoring is based on what?,"Risk assessment and risk management frameworks.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Difference between ML and TF (high level)?,"Key difference is the source of funds and motivation; both may use similar methods/structures/locations.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
What must AMLCO submit to CySEC?,"Monthly prevention statement and an Annual AML report (approved by the BoD); AMLCO is first point of contact with MOKAS.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Threshold for electronic funds transfer CDD?,"> €1,000 if suspicion of ML/TF exists.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Gaming sector threshold for CDD?,"Collection of winnings or bet deposits ≥ €2,000.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Cash transaction threshold for traders in goods?,"≥ €10,000 in cash triggers CDD/EDD as appropriate.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Link between business model vulnerabilities and EDD?,"EDD aims to address higher risk customers and situations identified by the firm’s risk assessment.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
When to re‑perform CDD updates?,"Per risk—at onboarding triggers, periodic reviews, and when circumstances change or doubts arise.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
Are SDD conditions applicable when cash redemption > €100?,"No—SDD conditions do not apply if redemption in cash exceeds €100.

Source: SALVUS Advanced Examination – Chapter 7 (AML).",Chapter 7 – AML
MiFIR scope (entities)?,"CIFs, credit institutions, market operators, CCPs, and third‑country firms providing investment services in the EU (with/without a branch).

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Two broad instrument buckets under MiFIR?,"Equity (shares, ETFs, depositary receipts, certificates) and Non‑equity (bonds, structured finance products, emission allowances, derivatives).

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Pre‑trade transparency requirement (equities)?,"Publish continuously bid/offer prices and market depth; certain exceptions apply.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Who is exempt from certain pre‑trade publication?,"Certain non‑financial counterparties (context‑dependent).

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Name four pre‑trade waivers.,"Large‑in‑scale orders; orders held in a venue’s management facility; certain non‑equity derivatives; instruments not traded on RM/MTF/OTF under specific conditions.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
How far in advance must waiver notifications be sent?,"CySEC & ESMA must be notified 4 months before start date.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Double‑cap mechanism thresholds?,"Per trading venue ≤4% and EU‑wide ≤8% over the last 12 months; exceedance triggers 6‑month suspension of the waiver.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Who publishes waiver statistics and when?,"ESMA monthly, within 5 days after month‑end; extra report 5 days after the 15th if thresholds are approached/exceeded.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Post‑trade transparency requirements?,"Publish price, volume and time of execution as close to real‑time as technically possible (via APA where relevant).

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
MiFIR transaction reporting deadline and pathways?,"T+1 to CySEC by the CIF, an ARM, or the trading venue.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
What must CIFs ensure for reporting systems?,"Secure transfer, minimise corruption/unauthorised access, prevent leakage, maintain confidentiality.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Eligible venues for derivatives trading?,"RMs, MTFs, OTFs, or EC‑approved third‑country venues on a non‑exclusive, non‑discriminatory basis.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Responsibility for clearing derivative transactions?,"Regulated market operator ensures clearing by CCPs; clearing members can be TVs, CCPs, and IFs.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Does portfolio compression trigger best execution?,"No. When providing portfolio compression, best execution obligation does not apply.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Are compression terminations/replacements subject to trading‑on‑venue?,"No. Termination/replacement in compression is not subject to the trading obligation.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
How are compression transactions published?,"Via an APA in near real‑time (volume and time).

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
What is a CTP/APA/ARM in context?,"Consolidated Tape Provider / Approved Publication Arrangement / Approved Reporting Mechanism used for transparency and reporting.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
When do non‑EU venues qualify for trading by EU participants?,"When authorised with effective supervision, clear admission rules, issuer disclosure, and market abuse safeguards.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
What is the trading obligation for derivatives?,"Eligible derivatives must trade on organised venues (RM/MTF/OTF or approved third‑country TVs).

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
When are orders reportable (transmission vs execution)?,"CIFs may report during transmission or upon execution, per MiFIR rules.

Source: SALVUS Advanced Examination – Chapter 8 (MiFIR).",Chapter 8 – MiFIR
Decompose Own Funds under CRR.,"Own funds = Tier 1 (CET1 + AT1) + Tier 2.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
CET1 typical components?,"Capital instruments, share premium, retained earnings, accumulated OCI, other reserves, funds for general banking risk (available for immediate loss coverage).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
AT1 notable features?,"Perpetual, fully paid, loss‑absorbing; may include call options at issuer’s sole discretion.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Tier 2 examples?,"Capital instruments, subordinated loans, associated share premium; plus certain general credit risk adjustments under standardised/advanced approaches.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Minimum ratios (Pillar 1)?,"CET1 4.5%; Tier 1 6%; Total Capital 8% of Total Risk Exposure Amount.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Capital conservation buffer?,"Up to 2.5% of total risk exposure in addition to minimums.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Define Total Risk Exposure Amount (TREA).,"Risk‑weighted exposures + (Own funds requirements × 12.5).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Which risks drive RWEA and OFR?,"RWEA: credit & dilution, counterparty credit; OFR×12.5: operational, market (FX, settlement, commodities), trading book/large exposures, CVA.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Large exposure limit to one client/group?,"Net exposure ≤25% of eligible capital (or €150m where relevant).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Examples of exposures exempted from limits?,"Covered bonds; exposures to parent/own subsidiaries; claims on local authorities (per CySEC allowances).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Equivalent third countries (examples)?,"Australia, Canada, Japan, Switzerland, USA, Russia.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
ICAAP key principles?,"Board responsibility; design/implementation; regular (≥ annually), comprehensive, forward‑looking (3–5y); measurement/assessment, documented outcomes.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
SREP five stages?,"Planning; ICAAP review/assessment; review of additional info; supervisory risk‑mitigation measures; validation.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Risk Register purpose?,"Categorise risks by probability and impact (financial/qualitative).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: sensitivity analysis defined.,"Change one risk factor at a time to assess impact (easy magnitude assessment; unrealistic isolation).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: scenario analysis defined.,"Simultaneous change of several factors (integrated view; relationships may be unstable).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress testing: reverse stress testing defined.,"Identify scenarios that make the business model unviable (exposes vulnerabilities).

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Stress test governance?,"Tailored to portfolio and environment, reviewed annually/when risk factors change, forward‑looking, with defined management actions and ownership.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Who appoints/removes the Risk Manager?,"The Board of Directors; for significant CIFs, Risk Committee members are non‑executive.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Disclosure: country‑by‑country reporting includes what?,"Name, activities, location, turnover, employees, P&L before tax, tax on P&L.

Source: SALVUS Advanced Examination – Chapter 9 (Capital Requirements).",Chapter 9 – Capital Adequacy (CRR/ICAAP/SREP)
Core EMIR objectives (2012)?,"Increase transparency in derivatives, mitigate counterparty credit risk, and reduce operational risk.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Who reports derivatives to TRs?,"All counterparties; CCPs/TRs under ESMA supervision for accreditation/withdrawal.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Two approaches to clearing obligation?,"Bottom‑up (EU counterparties to OTC classes) and top‑down (ESMA identifies classes lacking CCP authorisation).

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Which entities may be exempt from central clearing?,"Intragroup transactions and pension funds under certain conditions.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Who must notify when thresholds are exceeded?,"FCs/NFCs must notify ESMA and their competent authority when above clearing thresholds.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
When can clearing apply to third‑country counterparties?,"Where there is a direct, substantial and foreseeable effect in the EU (including two non‑EU entities).

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
What changed under EMIR Refit (Dec 2019)?,"CCPs provide initial margin simulation tools to members; insolvency laws shall not prevent certain CCP actions.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Who is responsible for reporting from June 2020 under Refit?,"FC reports for itself and for NFC‑ (not subject to clearing); UCITS management company reports for UCITS; AIFM for AIFs.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Name four risk‑mitigation techniques for non‑cleared OTCs.,"Timely confirmation; portfolio reconciliation; portfolio compression; dispute resolution; collateral exchange.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Collateral exchange requirements?,"Initial and variation margin; sufficiently diversified collateral; segregation and robust operational procedures.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Are intragroup OTCs exempt from collateral?,"Yes, within the EU under conditions.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Minimum capital for CCPs?,"€7.5 million, proportionate to risks and to enable orderly wind‑down/restructuring.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Large exposures and CCPs under CRR?,"CCPs are exempt from large exposure requirements.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Liquidity expectations for CCPs?,"Access to central bank or creditworthy bank liquidity; measure exposures to members; non‑discriminatory pricing; daily potential liquidity needs.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Single clearing member credit line limit?,"A clearing member should not provide >25% of a CCP’s credit needs.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Macroprudential angle of margins/haircuts?,"They can be procyclical—fall in good times (build‑up of leverage) and rise in stress (margin calls trigger deleveraging).

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Disclosure by CCPs/clearing members?,"Publicly disclose prices/fees incl. discounts; report costs/revenues to CySEC; disclose risks to members/clients.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
When can breaches be kept non‑public?,"If CySEC/ESMA deem disclosure a threat to financial stability/market confidence or causes disproportionate damage.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
"Define TR, CCP, FC, NFC.","Trade Repository; Central Counterparty; Financial Counterparty; Non‑Financial Counterparty.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
What is T+1 in EMIR reporting context?,"Reporting of transactions by the next business day.

Source: SALVUS Advanced Examination – Chapter 10 (EMIR).",Chapter 10 – EMIR
Which law frames CIF recovery/resolution?,"Law 20(I)/2016 (recovery and resolution for credit institutions and investment firms).

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Who prepares a recovery plan for solo CIFs?,"Solo CIFs subject to consolidated supervision must maintain recovery plans to restore financial position after deterioration.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Name key sections of a recovery plan.,"Summary of key elements and recovery capacity; material changes; capital/liquidity actions; comms & disclosure for market reactions; timeframe; impediments; governance integration; critical functions.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
What analysis re marketability must be in the plan?,"Process to determine value/marketability of core business lines, operations and assets; arrangements to conserve/restore own funds and access contingency funding.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
What scenarios must plans consider?,"Range of scenarios (idiosyncratic/systemic); early intervention options; timely implementation.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Can plans assume extraordinary public support?,"No. Recovery plans must not assume access to extraordinary public financial support.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Approval and review cadence?,"Management body approves; submit to CySEC; review at least annually and after material legal/organisational changes.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
When is a CIF ‘significant’ for recovery planning?,"Assets ≥ €30bn or ≥20% of MS GDP (unless total assets ≤ €5bn).

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Group recovery requirements?,"Parent under consolidated supervision provides a group recovery plan and for each subsidiary; intra‑group financial support permitted via agreements.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Intra‑group support agreement principles?,"Voluntary; each party acts in own best interest; full disclosure to provider; inside information considerations; consideration ignores temporary market price impacts.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Early intervention common triggers?,"Own funds breach risk from deteriorating capital/liquidity, leverage, NPLs, concentration. Often own funds +1.5% trigger used.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Early intervention measures CySEC can require?,"Update plan; action plan with timetable; convene shareholders; replace management; debt restructuring plan; strategy/legal/operational changes; on‑site inspections.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Types of administrators and term?,"Special or temporary administrators; appointed up to 1 year; remuneration borne by the CIF.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Special administrator powers (examples)?,"Increase capital; reorganise ownership; restrict operations; revise policies; restrict/forbid transactions; remove management; require prudential liquidity/capital; facilitate takeovers.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Administrator reporting timeline?,"Full report to resolution authority within 30 days (updated balance sheet, assessment, asset list by risk).

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Resolution authority and tools?,"CBC is the resolution authority; tools: sale of business; bridge institution/asset separation; asset management company; bail‑in; write‑down/conversion (CET1, AT1, T2).

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Resolution of CIFs: role of CySEC?,"CySEC checks acquirer authorisation; may allow a bridge institution temporarily without full investment services compliance; insolvency via Companies Law for unsecured claims.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Procedural notifications when a CIF is failing?,"Notify resolution and competent authorities, CBC/central bank, deposit guarantee scheme, resolution financing body, group‑level authority, relevant ministry, consolidating supervisor, ESRB.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Cross‑border group resolution cooperation?,"CySEC coordinates info exchange and public comms on group strategies; participates in resolution college with CBC; can enter cooperation MoUs incl. third‑country authorities.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
What must cooperation agreements cover?,"Sharing info; resolution planning; resolvability assessments; removing impediments; early intervention; application of resolution powers.

Source: SALVUS Advanced Examination – Chapter 11 (Recovery & Resolution).",Chapter 11 – Recovery & Resolution
Which Regulation governs prospectuses?,"Regulation (EU) 2017/1129 on the preparation, approval and distribution of prospectuses.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Which national law supports offers to the public?,"Law 114(I)/2005 sets conditions for offers to the public and prospectuses for offers/admissions to trading.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Is a public offer/admission allowed without a prospectus?,"No, unless an exemption applies; otherwise prior publication of a prospectus is required.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Name three exemptions where the Regulation does not apply.,"Units in open‑ended funds (UCITS); certain non‑equity issued/guaranteed by MS/public bodies/ECB/central banks; non‑fungible shares giving right to occupy immovable property; small offers ≤ €1,000,000 in 12 months.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
What sections must a prospectus summary contain?,"Introduction with warning; key info on issuer; key info on securities; key info on offer/admission.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
Style requirements for the summary?,"Accurate, fair, clear, not misleading; short, easy to read, clear non‑technical language and readable characters.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
What is a base prospectus?,"For non‑equity securities: contains necessary info; includes a ‘form of final terms’ and website address for publication; can be single or separate documents.

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
How long is a prospectus valid?,"12 months after approval (separate‑document prospectus counted from approval of the securities note).

Source: SALVUS Advanced Examination – Chapter 12 (Prospectus Regulation).",Chapter 12 – Prospectus Regulation
