Front,Back,Chapter
Special administrator powers (examples)?,Increase capital; reorganise ownership; restrict operations; revise policies; restrict/forbid transactions; remove management; require prudential liquidity/capital; facilitate takeovers.,Chapter 11 – Recovery & Resolution
Administrator reporting timeline?,"Full report to resolution authority within 30 days (updated balance sheet, assessment, asset list by risk).",Chapter 11 – Recovery & Resolution
Resolution authority and tools?,"CBC is the resolution authority; tools: sale of business; bridge institution/asset separation; asset management company; bail‑in; write‑down/conversion (CET1, AT1, T2).",Chapter 11 – Recovery & Resolution
Resolution of CIFs: role of CySEC?,CySEC checks acquirer authorisation; may allow a bridge institution temporarily without full investment services compliance; insolvency via Companies Law for unsecured claims.,Chapter 11 – Recovery & Resolution
Procedural notifications when a CIF is failing?,"Notify resolution and competent authorities, CBC/central bank, deposit guarantee scheme, resolution financing body, group‑level authority, relevant ministry, consolidating supervisor, ESRB.",Chapter 11 – Recovery & Resolution
Cross‑border group resolution cooperation?,CySEC coordinates info exchange and public comms on group strategies; participates in resolution college with CBC; can enter cooperation MoUs incl. third‑country authorities.,Chapter 11 – Recovery & Resolution
What must cooperation agreements cover?,Sharing info; resolution planning; resolvability assessments; removing impediments; early intervention; application of resolution powers.,Chapter 11 – Recovery & Resolution
Which Regulation governs prospectuses?,"Regulation (EU) 2017/1129 on the preparation, approval and distribution of prospectuses.",Chapter 12 – Prospectus Regulation
Which national law supports offers to the public?,Law 114(I)/2005 sets conditions for offers to the public and prospectuses for offers/admissions to trading.,Chapter 12 – Prospectus Regulation
Is a public offer/admission allowed without a prospectus?,"No, unless an exemption applies; otherwise prior publication of a prospectus is required.",Chapter 12 – Prospectus Regulation
Name three exemptions where the Regulation does not apply.,"Units in open‑ended funds (UCITS); certain non‑equity issued/guaranteed by MS/public bodies/ECB/central banks; non‑fungible shares giving right to occupy immovable property; small offers ≤ €1,000,000 in 12 months.",Chapter 12 – Prospectus Regulation
What sections must a prospectus summary contain?,Introduction with warning; key info on issuer; key info on securities; key info on offer/admission.,Chapter 12 – Prospectus Regulation
Style requirements for the summary?,"Accurate, fair, clear, not misleading; short, easy to read, clear non‑technical language and readable characters.",Chapter 12 – Prospectus Regulation
What is a base prospectus?,For non‑equity securities: contains necessary info; includes a ‘form of final terms’ and website address for publication; can be single or separate documents.,Chapter 12 – Prospectus Regulation
How long is a prospectus valid?,12 months after approval (separate‑document prospectus counted from approval of the securities note).,Chapter 12 – Prospectus Regulation
What is the EU Growth prospectus?,"Proportionate disclosure regime for SMEs and certain issuers/offerors (e.g., offers ≤ €20m; SME growth market capitalisation thresholds; specific format/simple language).",Chapter 12 – Prospectus Regulation
Who can use the simplified prospectus?,Issuers/offerors with securities admitted to trading for ≥18 months (or ≥2 years on an SME market seeking RM admission) for fungible or non‑equity issues.,Chapter 12 – Prospectus Regulation
What are the prospectus signatories and liability?,Issuer/offeror/applicant (or representative) sign; claims against signatories can be brought within 2 years from availability of securities.,Chapter 12 – Prospectus Regulation
Who is the competent authority in Cyprus?,CySEC supervises and implements the prospectus regulation; approves within 10 working days; ESMA notified within 1 working day.,Chapter 12 – Prospectus Regulation
Language and fees?,Law enacts obligations on language used and fees charged by the supervisory authority.,Chapter 12 – Prospectus Regulation
Are summaries always required?,"Not for non‑equity prospectuses traded only on regulated markets with denomination ≥ €100,000.",Chapter 12 – Prospectus Regulation
What must financial information in a prospectus cover?,"Issuer assets/liabilities, P&L, financial position, prospects; security rights; reasons for issuance (per recap).",Chapter 12 – Prospectus Regulation
How are whistleblowers protected?,"CA must provide secure reporting channels, protect whistleblowers and reported persons, and may offer financial incentives; publish administrative sanctions on the CA website.",Chapter 12 – Prospectus Regulation
Minimum maximum fines for infringements?,"At least €700,000 for natural persons and €5,000,000 or 3% of annual turnover for legal persons (per slides).",Chapter 12 – Prospectus Regulation
Voluntary prospectus cases?,"Where security type is exempt or obligation is waived, a prospectus may still be drawn voluntarily.",Chapter 12 – Prospectus Regulation
What documents can form the prospectus?,"Registration document, securities note, and summary (separate documents permitted).",Chapter 12 – Prospectus Regulation
Validity of base prospectus and final terms?,Base prospectus valid 12 months; final terms published at the stated website address.,Chapter 12 – Prospectus Regulation
Which issuers are in scope of transparency rules?,Issuers with securities admitted to trading on a regulated market (Laws 2007–2017).,Chapter 13 – Transparency Laws
Who is responsible for periodic information?,"Issuer’s administrative, management and supervisory bodies.",Chapter 13 – Transparency Laws
Annual report timing and content?,Publish within 4 months of year end; includes audited FS and management report; public for ≥10 years; statements by BoD/CEO/CFO.,Chapter 13 – Transparency Laws
Half‑year report timing and content?,"Publish within 3 months of period end; public for ≥10 years; if unaudited, disclose that fact.",Chapter 13 – Transparency Laws
Interim management report must include?,Detailed economic analysis; extraordinary items; comparative analysis; key events in first 6 months; principal risks for next 6 months; info affecting P&L; related‑party transactions for share issuers.,Chapter 13 – Transparency Laws
Examples of publication exemptions?,"MS governments/authorities, ECB/CBC/EFSF, and issuers of debt with denominations ≥ €100,000 (or ≥ €50,000 if admitted before 31 Dec 2010).",Chapter 13 – Transparency Laws
Can issuers use electronic communication to holders?,"Yes, regardless of location/residence; with identification arrangements, holder consent, and issuer‑set costs.",Chapter 13 – Transparency Laws
Where may a debt‑holder meeting be held for large denominations?,"Any Member State if invitations are sent to debt holders with per‑unit value ≥ €100,000 (or ≥ €50,000 if admitted before 31 Dec 2010).",Chapter 13 – Transparency Laws
When does a person become a shareholder for notification?,When they acquire shares with attached voting rights.,Chapter 13 – Transparency Laws
Which voting thresholds trigger notifications?,"Reaching/crossing 5%, 10%, 15%, 20%, 25%, 30%, 50%, or 75% (upwards or downwards).",Chapter 13 – Transparency Laws
Name situations requiring aggregation for notifications.,Common policy agreements; temporary transfer of voting rights; collateral where control and intention to exercise exist; life interest; deposits with discretionary voting; third‑party holdings on behalf; proxies without instructions.,Chapter 13 – Transparency Laws
Are initial and subsequent transactions notifiable?,Yes—both initial holdings and subsequent changes must be notified to issuer and CySEC.,Chapter 13 – Transparency Laws
Exemptions from shareholder notification (examples)?,Clearing/settlement within 3 business days; custodians (capacity‑based) without discretion; market makers up to 5%; trading book holdings up to 5%; ESCB holdings; stabilisation activities.,Chapter 13 – Transparency Laws
How are fines structured for non‑disclosure of voting changes?,"Up to €85k, or up to €170k for repeated infringements (per recap).",Chapter 13 – Transparency Laws
What are maximum general fines under transparency laws?,"Up to twice the infringement; legal up to €10m, natural up to €2m (per recap).",Chapter 13 – Transparency Laws
What record‑keeping is needed for electronic comms?,Identification/record‑keeping arrangements and holder consent retained; issuer defines any costs.,Chapter 13 – Transparency Laws
Do thresholds apply even if rights are suspended?,Yes—voting rights are calculated on all shares even if exercise is suspended.,Chapter 13 – Transparency Laws
How long must reports remain publicly available?,At least 10 years.,Chapter 13 – Transparency Laws
Who must be clearly identified in the periodic reports?,"BoD, CEO, and CFO names/functions with their statements.",Chapter 13 – Transparency Laws
Does non‑intervention in management affect notification?,Voting rights held but not exercised to intervene may affect how obligations are interpreted (per slides’ note).,Chapter 13 – Transparency Laws
Which Regulation governs market abuse?,EU Regulation 596/2014 (MAR).,Chapter 14 – Market Abuse
Define inside information.,"Information of a precise nature, non‑public, relating to issuers or instruments, which would likely have a significant price effect if made public.",Chapter 14 – Market Abuse
Is possession of inside information itself a violation?,No. The violation is using it (insider dealing) or unlawfully disclosing it.,Chapter 14 – Market Abuse
What is market sounding?,Pre‑announcement communication to gauge investor interest; ceases to be inside information when handled per MAR and disclosures.,Chapter 14 – Market Abuse
Consent and confidentiality for market sounding?,Obtain recipient consent and inform them to keep the information confidential; keep records for 5 years.,Chapter 14 – Market Abuse
Who must maintain insider lists?,"Issuers with instruments on RMs/MTFs/OTFs (exemption for SME Growth Market instruments); include advisors, auditors, CRAs, etc.",Chapter 14 – Market Abuse
What must an insider list include?,Identity; reason for inclusion; date/time access obtained; date/time of list updates.,Chapter 14 – Market Abuse
Managers’ transactions notification deadline?,"Notify competent authority ASAP and no later than 3 business days after the transaction; thresholds e.g., > €5,000 (may rise to €20,000).",Chapter 14 – Market Abuse
Closed periods for PDMRs?,No transactions prior to announcement of interim or year‑end reports.,Chapter 14 – Market Abuse
Define market manipulation.,Disseminating false/misleading information or other practices giving misleading signals about supply/demand or securing abnormal/artificial prices.,Chapter 14 – Market Abuse
What systems must firms have to prevent/detect abuse?,Arrangements/procedures to detect/report (attempted) insider dealing or manipulation; report suspicious orders/transactions immediately to CA.,Chapter 14 – Market Abuse
Accepted Market Practices—key criteria?,Transparency; safeguards for market forces; positive liquidity/efficiency impact; account for market mechanisms; avoid risks to integrity; not infringe abuse rules or codes.,Chapter 14 – Market Abuse
Investment recommendations—disclosure duty?,Ensure objective presentation and disclose all interests/conflicts unless disclosure would itself mislead/abuse the market.,Chapter 14 – Market Abuse
Examples of administrative measures for infringements?,Cease/refrain orders; disgorgement of profits; public warning; licence withdrawal/suspension; temporary/permanent bans for responsible persons.,Chapter 14 – Market Abuse
Max pecuniary sanctions (insider dealing/manipulation)?,"Natural: up to €5,000,000; Legal: up to €15,000,000 or 15% of total annual turnover.",Chapter 14 – Market Abuse
Max sanctions for prevention/disclosure failures?,"Natural: up to €1,000,000; Legal: up to €2,500,000 or 2% of total annual turnover.",Chapter 14 – Market Abuse
Max sanctions for insider lists/managers’ transactions/recommendations?,"Natural: up to €500,000; Legal: up to €1,000,000.",Chapter 14 – Market Abuse
What is the role of MAR in modern markets?,Keep pace with market developments; ban abuse; strengthen regulators’ powers and sanctions.,Chapter 14 – Market Abuse
Are orders that are amended/cancelled based on inside info covered?,Yes—insider dealing applies to cancellations/amendments made due to inside info after placing an order.,Chapter 14 – Market Abuse
Who must report suspicious activity?,Market operators and investment firms must report suspicious orders/transactions/cancellations to the competent authority without delay.,Chapter 14 – Market Abuse
Scope of Law 87(I)/2017?,"Applies to CIFs, market operators, DRSPs, and third‑country firms via a Cyprus branch; sets authorisation and supervision framework.",Chapter 1 – Investment Services Law
Third‑country firms marketing in Cyprus—what must they do?,Establish a Cypriot branch supervised by CySEC/CBC and comply with the Law; services marketed only via the branch.,Chapter 1 – Investment Services Law
List three exemptions from Law 87(I)/2017.,Insurance/reinsurance; intragroup services; incidental services in a regulated profession; plus others like certain own‑account dealers.,Chapter 1 – Investment Services Law
Who supervises CIFs and UCITS in Cyprus?,"CySEC; it also supervises AIFMs, ASPs, persons serving supervised entities, and branches located in Cyprus.",Chapter 1 – Investment Services Law
Two key CySEC responsibilities under the Law?,Maintain a public register of persons acting for CIFs/EU IFs; ensure persons are of good repute and appropriately knowledgeable.,Chapter 1 – Investment Services Law
When may CySEC/CBC share confidential info?,"With ESMA, ESRB, CBC/ECB, other EU central banks and competent authorities under EU law.",Chapter 1 – Investment Services Law
Name two powers of the Central Bank of Cyprus.,Demand information incl. phone/data records; order cessation of practices; freeze assets; conduct on‑site inspections.,Chapter 1 – Investment Services Law
What principle guides CySEC’s supervisory intensity?,"Proportionality—size, nature and complexity; minimum annual reviews.",Chapter 1 – Investment Services Law
ICF: who can be members?,"CIFs, AIFMs and management companies that provide PM, advisory, custody/management of UCITS; certain branches (voluntary).",Chapter 1 – Investment Services Law
ICF funding sources?,"Initial, annual and additional contributions; unclaimed funds; resources from suspensions/withdrawals; administrative expenses.",Chapter 1 – Investment Services Law
ICF coverage amount and timeline?,"Up to the lesser of €20,000 or 90% of covered claims; aim to pay within three months of the ICF decision.",Chapter 1 – Investment Services Law
Are ICF contributions an asset of the member?,No—contributions are not the member’s asset.,Chapter 1 – Investment Services Law
One class excluded from ICF coverage?,Investors responsible for the member’s difficulties; affiliates; close relatives/agents acting for them (see list).,Chapter 1 – Investment Services Law
Criminal penalty for violating Law 87(I)/2017?,"Imprisonment up to 5 years and/or a fine up to €700,000; BoD/management bodies may be criminally liable.",Chapter 1 – Investment Services Law
Who keeps public registers of authorised persons?,"CySEC—establishes, maintains and updates the register of persons acting for CIFs/EU IFs.",Chapter 1 – Investment Services Law
What must a third‑country firm satisfy if not under MiFIR Art.46 regime?,"Authorisation in home state, compliance with Cyprus law, and establishment of a branch in Cyprus.",Chapter 1 – Investment Services Law
Can CySEC cooperate with other NCAs?,Yes—cooperates with other NCAs and ESMA; can share necessary confidential information.,Chapter 1 – Investment Services Law
Example of exempt participant related to emissions trading?,"Operators dealing in greenhouse gas emission allowances meeting conditions (no client orders, etc.).",Chapter 1 – Investment Services Law
What documents must be accurate when submitted?,"All information, data, documents or forms to CySEC/CBC or made public must be correct, complete and not misleading.",Chapter 1 – Investment Services Law
High‑level purpose of the Law?,To regulate authorization/operation and ensure prudent supervision/enforcement over investment services in Cyprus.,Chapter 1 – Investment Services Law
How long can CySEC take to grant initial CIF authorisation?,Up to 6 months for a successful application.,Chapter 2 – Cypriot Investment Firms (CIFs)
Is authorisation valid across the EU?,Yes—passporting directly or via a branch; CySEC communicates authorisations to ESMA and maintains a register.,Chapter 2 – Cypriot Investment Firms (CIFs)
Must CIF websites disclose authorisation info?,"Yes—state CySEC authorisation, registration number, and scope of authorisation.",Chapter 2 – Cypriot Investment Firms (CIFs)
Are ancillary services alone authorisable?,No—authorisation is not granted only for ancillary services.,Chapter 2 – Cypriot Investment Firms (CIFs)
Name three continuous obligations of a CIF.,"Organisational arrangements, ongoing capital, and outsourcing oversight; regular reviews.",Chapter 2 – Cypriot Investment Firms (CIFs)
CySEC’s primary concern in conduct?,Conflicts of interest between the firm and clients or between two clients—must be disclosed before business.,Chapter 2 – Cypriot Investment Firms (CIFs)
One withdrawal ground related to inactivity?,No use of the licence for 12 months or no services/activities for 6 months.,Chapter 2 – Cypriot Investment Firms (CIFs)
Two other withdrawal grounds?,Voluntary renunciation; false/misleading authorisation info; failure to meet conditions; serious/systematic violations.,Chapter 2 – Cypriot Investment Firms (CIFs)
Who are eligible counterparties (examples)?,"CIFs, credit institutions, insurers, UCITS/pension funds and their MCs, governments, central banks.",Chapter 2 – Cypriot Investment Firms (CIFs)
Binary options allowable conditions (per slides)?,Lower fixed amount = price paid; validity > 90 days; issuer publishes prospectus and is not exposed to market risk.,Chapter 2 – Cypriot Investment Firms (CIFs)
Core CFD retail safeguards listed?,Initial margin; closing margin; negative balance protection; no bonuses.,Chapter 2 – Cypriot Investment Firms (CIFs)
SME Growth Market issuer criteria (slides recap)?,Shares admitted < 3 years; market cap < €200m; base price rules vary by time since first trading.,Chapter 2 – Cypriot Investment Firms (CIFs)
DRSP types?,"APA, ARM, and CTP—listed on CySEC public register and reported to ESMA.",Chapter 2 – Cypriot Investment Firms (CIFs)
APA/CTP post‑trade publication deadline?,Publish key data free within 15 minutes; ARM reports transactions up to T+1 business day.,Chapter 2 – Cypriot Investment Firms (CIFs)
DEA on regulated markets—one control?,Members offering DEA must be authorised; RMs ensure algos do not create disorderly markets.,Chapter 2 – Cypriot Investment Firms (CIFs)
Change of ownership notifications on RMs?,Notify CySEC within one month (per recap).,Chapter 2 – Cypriot Investment Firms (CIFs)
Crowdfunding in slides—what is it?,Alternative financing via shares or bonds (high‑level context).,Chapter 2 – Cypriot Investment Firms (CIFs)
Tied agent basic rule?,Acts for only one IF/CIF; CySEC approval in one month; termination notification within three days.,Chapter 2 – Cypriot Investment Firms (CIFs)
What is on the CySEC public register for CIFs?,"Name, number, date of authorisation, services and instruments.",Chapter 2 – Cypriot Investment Firms (CIFs)
Where must conflicts be disclosed?,To the client before undertaking business.,Chapter 2 – Cypriot Investment Firms (CIFs)
What is product governance at a high level?,Process ensuring products meet needs of a defined target market with appropriate distribution strategy and reviews.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When can a CIF aggregate client orders?,When aggregation is unlikely to disadvantage any client; allocate fairly and promptly with a written policy.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Best execution obligation core?,"Take all sufficient steps to obtain the best possible result, considering price, costs, speed, likelihood, size, nature, and other factors.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Order handling requirement?,"Prompt, fair and expeditious execution relative to other client orders; comparable orders executed sequentially unless not practical/clients’ interests require otherwise.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Inducements—when are they allowed?,Only if they enhance the quality of the service and do not impair acting in the client’s best interest; must be disclosed.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Research vs. inducement principle?,"Research must be paid by the firm (P&L) or via a research payment account; otherwise, it risks being an inducement.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client order record‑keeping?,Keep records of all services/activities/transactions including client orders for the required retention period.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Conflicts of interest policy elements?,Identify circumstances leading to conflicts; specify procedures to manage them; disclose where unavoidable.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Periodic assessment of execution quality?,Monitor and review execution arrangements and venues; publish top execution venues (RTS 28‑style concept in MiFID II context).,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Dealing on own account vs. client orders?,Controls required to prevent front‑running; segregation of proprietary trading and client order information.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client categorisation relevance to conduct?,Impacts protections (retail vs. professional vs. eligible counterparties) and disclosures/assessments.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Appropriateness vs. suitability—quick contrast.,Appropriateness tests product knowledge for non‑advised services; suitability assesses client objectives/risk for advice/PM.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Use of tied agents—conduct angle?,"Ensure agents act in the firm’s best interest, comply with conduct/AML requirements, and are properly supervised.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Marketing communications rule of thumb?,"Fair, clear, not misleading; consistent with legal documents and costs disclosures.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Recording telephone/electronic communications?,Record and retain relevant communications that relate to activities under MiFID laws.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Product intervention powers (CySEC/ESMA)?,Authorities may restrict or ban certain products/distribution for consumer protection/market integrity.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
What must an order allocation policy include?,"Fair allocation criteria, treatment of partial fills, timing, and allocation to proprietary accounts.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Client money and asset protection linkage?,"Safeguard assets per client asset rules; segregation, reconciliations, and disclosures to clients.","Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
When is disclosure of conflicts required?,As a measure of last resort where arrangements cannot ensure with reasonable confidence the prevention of risk to client interests.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Outsourcing of critical functions—conduct angle?,Ensure no material impairment of internal control and CySEC oversight; maintain responsibility and effective supervision.,"Chapter 6 – Conduct: Best Execution, Conflicts, Product Governance"
Organisational requirements – what must a CIF establish and maintain?,Decision‑making procedures; clear organisational structure/reporting lines; internal controls; internal reporting/communication; skilled staff; proportionality applies.,Chapter 3 – CIFs & Banks (Conduct of Business)
Information systems – two key capabilities required?,Safeguard security/integrity/confidentiality of information; ensure timely recovery/preservation of data/functions after interruptions; deliver true/fair reports per accounting standards.,Chapter 3 – CIFs & Banks (Conduct of Business)
How often must firms evaluate their systems/controls?,Regularly – at least annually – and take measures for deficiencies.,Chapter 3 – CIFs & Banks (Conduct of Business)
Compliance function – core responsibilities?,Permanent monitoring and regular assessment of policies; assist staff to comply with MiFID; report to management (min annually) incl. complaints handling; risk‑based monitoring programme.,Chapter 3 – CIFs & Banks (Conduct of Business)
Compliance officer – independence & authority requirements?,Appointed/replaced by BoD; reports directly to BoD on weaknesses; cannot perform overseen services; remuneration must not compromise objectivity; must have authority/resources/expertise and information access.,Chapter 3 – CIFs & Banks (Conduct of Business)
Recording face‑to‑face/phone communications – what details must be captured?,"Date/time; location; identity of attendees; client order info (price, volume, order type, time transmitted/executed).",Chapter 3 – CIFs & Banks (Conduct of Business)
Recordkeeping duration and client notice?,Inform clients that records may be retained up to 5 years (up to 7 years upon CySEC request). Originals must not be altered/deleted and must be readily accessible.,Chapter 3 – CIFs & Banks (Conduct of Business)
Outsourcing – what cannot be delegated and what must the firm retain?,Cannot delegate senior management responsibility; client relationship/obligations unchanged; authorisation conditions not undermined; retain expertise to supervise; immediate termination rights if service quality affected.,Chapter 3 – CIFs & Banks (Conduct of Business)
Service provider minimum standards (name three)?,Ability/capacity/resources; effectiveness & legal compliance; risk supervision/management; protect confidentiality; cooperate with authorities.,Chapter 3 – CIFs & Banks (Conduct of Business)
Outsourcing contingency – what plans/tests are required?,Have disaster recovery/backup facilities with periodic testing covering the outsourced function.,Chapter 3 – CIFs & Banks (Conduct of Business)
Client assets – five disclosures CIFs must provide?,Responsibility for third‑party acts/omissions; use of third‑party omnibus accounts; when assets cannot be separated; when subject to non‑EU law; any security interest terms over client instruments/funds.,Chapter 3 – CIFs & Banks (Conduct of Business)
Risk management – independence and role?,Operate independently; monitor adequacy/effectiveness of risk policies/procedures; monitor compliance by employees/arrangements/processes; track measures on identified deficiencies.,Chapter 3 – CIFs & Banks (Conduct of Business)
Internal audit – three core duties?,Establish/implement/maintain audit plan; evaluate adequacy/effectiveness of systems/controls/arrangements; issue recommendations and verify implementation; produce IA report.,Chapter 3 – CIFs & Banks (Conduct of Business)
Conflicts of interest – situations to prevent?,Financial gain/loss at client expense; interests in transaction outcome; incentives to favour one client over another; carrying on same business as client; inducements linked to client service.,Chapter 3 – CIFs & Banks (Conduct of Business)
Conflicts policy – four measures and when to disclose?,Control information exchange; supervise client‑facing functions; remuneration not linked to conflicting activities; control influences on client‑facing functions; consider group conflicts; disclose to clients only as last resort when measures are insufficient.,Chapter 3 – CIFs & Banks (Conduct of Business)
Investor protection – what information must be given to clients?,Firm name/services; instruments/strategies; past performance (5y + 12‑month periods) with warnings; execution venues; costs/charges in easy format; **risk font size same as other material**.,Chapter 3 – CIFs & Banks (Conduct of Business)
Appropriateness assessment – when required and what if data is missing?,Assess client knowledge/experience; if client won’t provide info → cannot determine appropriateness and cannot provide the service; if products not appropriate → standardised risk warning required.,Chapter 3 – CIFs & Banks (Conduct of Business)
Appropriateness exemption – when is it not required?,When only receiving/transmitting orders at client’s request for certain shares and the client has been informed (per listed conditions in slides).,Chapter 3 – CIFs & Banks (Conduct of Business)
Professional clients – who qualifies and what option do they have?,Regulated entities; large undertakings meeting 2 of: BS ≥ €20m; turnover ≥ €40m; own funds ≥ €2m; governments/central banks/institutional investors. They may request to be treated as non‑professional for higher protection.,Chapter 3 – CIFs & Banks (Conduct of Business)
Costs & charges – ex‑ante vs ex‑post and KID/KIIDs?,Ex‑ante and ex‑post aggregation (amount & %). Ex‑ante via UCITS KIID/PRIIPs KID; firms not recommending/marketing an instrument need not provide a KID/KIID. Ex‑post annual disclosure; professionals/ECPs may receive limited info (except derivatives).,Chapter 3 – CIFs & Banks (Conduct of Business)
Independent investment advice – range & disclosure duties?,"Assess sufficient number/variety representative of the market; periodic review; explain services recommended and relationships with issuers; if criteria can’t be met, do not present as independent.",Chapter 3 – CIFs & Banks (Conduct of Business)
Independent vs non‑independent advice – what must be told to clients?,"Before providing advice, inform whether advice is independent or not; ensure organisational separation to avoid confusion; clearly explain why/how advice is independent or not, and any restrictions.",Chapter 3 – CIFs & Banks (Conduct of Business)
Suitability – what information must be collected and why?,"Purpose is acting in client’s best interest; collect financial info (income sources, assets, commitments) and objectives (duration, risk profile, purpose). For representatives, assess rep knowledge/experience and underlying client info.",Chapter 3 – CIFs & Banks (Conduct of Business)
Suitability – how to ensure reliability and what if info is insufficient?,Make clients aware of importance of accurate/updated info; ensure tools capture objectives/needs and are fit for purpose; check consistency. If insufficient info → do not recommend; if not suitable → do not provide service. Keep records of assessments and warnings.,Chapter 3 – CIFs & Banks (Conduct of Business)
Best execution – overarching duty and policy expectations?,"Take ALL sufficient steps for best possible result considering client category, order/instrument/venue characteristics. Maintain an Order Execution Policy (review at least annually/material change), provide on durable medium/website with RTS 28‑style venue summary.",Chapter 3 – CIFs & Banks (Conduct of Business)
Best execution – factors and client‑instruction warning?,"Factors: price, costs, speed, likelihood, size, nature, others. Warn when client instructions may prevent best execution; monitor venues/arrangements; disclose any inducements from venues.",Chapter 3 – CIFs & Banks (Conduct of Business)
Client order handling – sequential execution & allocation policy?,"Record/allocate orders promptly/accurately; execute comparable orders sequentially unless impracticable or client interests require otherwise; inform retail clients of material difficulties; have an allocation policy covering price/volume, partial fills, and preventing harmful reallocations to own account.",Chapter 3 – CIFs & Banks (Conduct of Business)
